participant_id,question_id,part,total_samples,valid_samples,invalid_samples,invalid_pct,excluded,status
participant_1,question_1,Timer-Correct,25874,25336,538,0.020793074128468734,False,KEPT
participant_1,question_10,Timer-No-Correct,12610,12492,118,0.009357652656621729,False,KEPT
participant_1,question_11,Timer-Correct,5519,5518,1,0.0001811922449719152,False,KEPT
participant_1,question_12,Timer-No-Correct,12540,12311,229,0.018261562998405104,False,KEPT
participant_1,question_13,No-Timer,6167,6148,19,0.003080914545159721,False,KEPT
participant_1,question_14,No-Timer,12222,11954,268,0.021927671412207493,False,KEPT
participant_1,question_15,Timer-Correct,6620,6501,119,0.01797583081570997,False,KEPT
participant_1,question_2,Timer-No-Correct,7269,7129,140,0.019259870683725408,False,KEPT
participant_1,question_3,No-Timer,10952,10749,203,0.018535427319211102,False,KEPT
participant_1,question_4,Timer-Correct,4751,4734,17,0.003578194064407493,False,KEPT
participant_1,question_5,No-Timer,11803,10906,897,0.07599762772176566,False,KEPT
participant_1,question_6,Timer-No-Correct,12801,12472,329,0.025701117100226545,False,KEPT
participant_1,question_7,Timer-No-Correct,9151,9068,83,0.009070046989400065,False,KEPT
participant_1,question_8,Timer-Correct,5883,5791,92,0.015638279789223185,False,KEPT
participant_1,question_9,No-Timer,12532,11907,625,0.0498723268432812,False,KEPT
participant_10,question_1,No-Timer,5059,5031,28,0.0055346906503261515,False,KEPT
participant_10,question_10,Timer-Correct,8054,7952,102,0.012664514526943133,False,KEPT
participant_10,question_11,No-Timer,5579,5529,50,0.008962179602079226,False,KEPT
participant_10,question_12,No-Timer,6250,6208,42,0.00672,False,KEPT
participant_10,question_13,Timer-Correct,2579,2480,99,0.038386971694455214,False,KEPT
participant_10,question_14,Timer-No-Correct,4414,4282,132,0.029904848210240146,False,KEPT
participant_10,question_15,No-Timer,6058,5901,157,0.025916143941895016,False,KEPT
participant_10,question_2,Timer-Correct,3413,3413,0,0.0,False,KEPT
participant_10,question_3,Timer-Correct,19718,19302,416,0.021097474388883253,False,KEPT
participant_10,question_4,No-Timer,15019,14922,97,0.006458485917837406,False,KEPT
participant_10,question_5,Timer-No-Correct,3470,3426,44,0.012680115273775217,False,KEPT
participant_10,question_6,Timer-No-Correct,7359,7295,64,0.008696833808941432,False,KEPT
participant_10,question_7,Timer-No-Correct,12180,11989,191,0.01568144499178982,False,KEPT
participant_10,question_8,Timer-No-Correct,7798,7726,72,0.00923313670171839,False,KEPT
participant_10,question_9,Timer-Correct,4964,4920,44,0.008863819500402902,False,KEPT
participant_11,question_1,Timer-No-Correct,3759,3742,17,0.004522479382814578,False,KEPT
participant_11,question_10,No-Timer,3616,3584,32,0.008849557522123894,False,KEPT
participant_11,question_11,Timer-No-Correct,9566,9480,86,0.008990173531256534,False,KEPT
participant_11,question_12,Timer-Correct,12364,12043,321,0.02596247169200906,False,KEPT
participant_11,question_13,Timer-No-Correct,6278,6192,86,0.0136986301369863,False,KEPT
participant_11,question_14,No-Timer,4056,3945,111,0.027366863905325445,False,KEPT
participant_11,question_15,Timer-Correct,11303,11132,171,0.015128726886667257,False,KEPT
participant_11,question_2,Timer-No-Correct,8621,8546,75,0.008699686811274794,False,KEPT
participant_11,question_3,No-Timer,3472,3421,51,0.0146889400921659,False,KEPT
participant_11,question_4,Timer-Correct,3889,3802,87,0.022370789406016972,False,KEPT
participant_11,question_5,No-Timer,3475,3442,33,0.009496402877697842,False,KEPT
participant_11,question_6,Timer-Correct,5963,5849,114,0.01911789367767902,False,KEPT
participant_11,question_7,Timer-Correct,5844,5750,94,0.016084873374401096,False,KEPT
participant_11,question_8,Timer-No-Correct,4417,4376,41,0.009282318315598823,False,KEPT
participant_11,question_9,No-Timer,5889,5773,116,0.019697741552046188,False,KEPT
participant_12,question_1,No-Timer,8682,8568,114,0.013130615065653075,False,KEPT
participant_12,question_10,Timer-No-Correct,2793,2752,41,0.014679556032939491,False,KEPT
participant_12,question_11,Timer-No-Correct,3667,3560,107,0.029179165530406326,False,KEPT
participant_12,question_12,No-Timer,3934,3883,51,0.012963904422979155,False,KEPT
participant_12,question_13,Timer-No-Correct,1454,1448,6,0.0041265474552957355,False,KEPT
participant_12,question_14,Timer-Correct,10781,10507,274,0.025415082088860032,False,KEPT
participant_12,question_15,Timer-Correct,2685,2667,18,0.0067039106145251395,False,KEPT
participant_12,question_2,Timer-No-Correct,3386,3362,24,0.0070880094506792675,False,KEPT
participant_12,question_3,Timer-Correct,6243,5859,384,0.061508889956751564,False,KEPT
participant_12,question_4,Timer-Correct,6568,6063,505,0.07688794153471376,False,KEPT
participant_12,question_5,Timer-No-Correct,2541,2541,0,0.0,False,KEPT
participant_12,question_6,No-Timer,11771,11498,273,0.023192591963299633,False,KEPT
participant_12,question_7,No-Timer,1808,1808,0,0.0,False,KEPT
participant_12,question_8,Timer-Correct,10128,10013,115,0.011354660347551343,False,KEPT
participant_12,question_9,No-Timer,1870,1865,5,0.00267379679144385,False,KEPT
participant_13,question_1,Timer-Correct,18029,17843,186,0.010316711964057907,False,KEPT
participant_13,question_10,Timer-No-Correct,7594,7550,44,0.0057940479325783514,False,KEPT
participant_13,question_11,No-Timer,12901,12422,479,0.03712890473606697,False,KEPT
participant_13,question_12,Timer-No-Correct,8956,8689,267,0.029812416257257706,False,KEPT
participant_13,question_13,Timer-No-Correct,12290,11208,1082,0.08803905614320585,False,KEPT
participant_13,question_14,No-Timer,8831,8063,768,0.08696636847469143,False,KEPT
participant_13,question_15,Timer-Correct,12155,11940,215,0.017688194158782394,False,KEPT
participant_13,question_2,No-Timer,13207,13082,125,0.009464677822366927,False,KEPT
participant_13,question_3,Timer-No-Correct,23400,23204,196,0.008376068376068376,False,KEPT
participant_13,question_4,Timer-No-Correct,6928,6200,728,0.10508083140877598,False,KEPT
participant_13,question_5,Timer-Correct,15342,12437,2905,0.18934949810976404,False,KEPT
participant_13,question_6,No-Timer,12660,12089,571,0.04510268562401264,False,KEPT
participant_13,question_7,Timer-Correct,11257,8900,2357,0.20938082970596072,False,KEPT
participant_13,question_8,No-Timer,12746,12067,679,0.05327161462419583,False,KEPT
participant_13,question_9,Timer-Correct,4740,4642,98,0.02067510548523207,False,KEPT
participant_14,question_1,No-Timer,3200,3200,0,0.0,False,KEPT
participant_14,question_10,No-Timer,7605,7596,9,0.001183431952662722,False,KEPT
participant_14,question_11,No-Timer,6820,6817,3,0.0004398826979472141,False,KEPT
participant_14,question_12,Timer-No-Correct,6252,6242,10,0.001599488163787588,False,KEPT
participant_14,question_13,Timer-Correct,4047,4035,12,0.0029651593773165306,False,KEPT
participant_14,question_14,No-Timer,10403,10314,89,0.008555224454484284,False,KEPT
participant_14,question_15,Timer-Correct,5152,5131,21,0.004076086956521739,False,KEPT
participant_14,question_2,Timer-Correct,6205,6202,3,0.00048348106365834006,False,KEPT
participant_14,question_3,Timer-No-Correct,4712,4701,11,0.00233446519524618,False,KEPT
participant_14,question_4,No-Timer,5586,5583,3,0.0005370569280343716,False,KEPT
participant_14,question_5,Timer-No-Correct,7270,7261,9,0.0012379642365887209,False,KEPT
participant_14,question_6,Timer-No-Correct,11257,11250,7,0.0006218353024784578,False,KEPT
participant_14,question_7,Timer-Correct,3511,3491,20,0.005696382796923953,False,KEPT
participant_14,question_8,Timer-No-Correct,12257,12247,10,0.0008158603247124093,False,KEPT
participant_14,question_9,Timer-Correct,4761,4761,0,0.0,False,KEPT
participant_15,question_1,Timer-No-Correct,7295,7235,60,0.00822481151473612,False,KEPT
participant_15,question_10,Timer-Correct,8292,8140,152,0.018330921369995177,False,KEPT
participant_15,question_11,No-Timer,12008,11942,66,0.005496335776149234,False,KEPT
participant_15,question_12,Timer-Correct,3597,3429,168,0.04670558798999166,False,KEPT
participant_15,question_13,No-Timer,10089,9838,251,0.024878580632371892,False,KEPT
participant_15,question_14,No-Timer,3884,3707,177,0.04557157569515963,False,KEPT
participant_15,question_15,Timer-Correct,3646,3194,452,0.12397147558968732,False,KEPT
participant_15,question_2,Timer-No-Correct,4764,4684,80,0.016792611251049538,False,KEPT
participant_15,question_3,Timer-Correct,10983,10536,447,0.040699262496585634,False,KEPT
participant_15,question_4,Timer-Correct,8647,8346,301,0.0348097606106164,False,KEPT
participant_15,question_5,No-Timer,1808,1790,18,0.00995575221238938,False,KEPT
participant_15,question_6,No-Timer,7938,7807,131,0.016502897455278408,False,KEPT
participant_15,question_7,Timer-No-Correct,11228,11129,99,0.008817242607766299,False,KEPT
participant_15,question_8,Timer-No-Correct,10901,10753,148,0.013576736079258784,False,KEPT
participant_15,question_9,Timer-No-Correct,12716,11770,946,0.07439446366782007,False,KEPT
participant_16,question_1,No-Timer,8585,8258,327,0.038089691322073384,False,KEPT
participant_16,question_10,Timer-No-Correct,10577,10116,461,0.043585137562635906,False,KEPT
participant_16,question_11,Timer-Correct,7796,7424,372,0.04771677783478707,False,KEPT
participant_16,question_12,Timer-Correct,10190,9604,586,0.057507360157016685,False,KEPT
participant_16,question_13,Timer-Correct,10353,9643,710,0.06857915580025113,False,KEPT
participant_16,question_14,Timer-Correct,5438,5187,251,0.04615667524825304,False,KEPT
participant_16,question_15,No-Timer,11931,10924,1007,0.08440197804039896,False,KEPT
participant_16,question_2,Timer-No-Correct,5897,5698,199,0.03374597252840427,False,KEPT
participant_16,question_3,No-Timer,9129,8503,626,0.06857268046883558,False,KEPT
participant_16,question_4,Timer-Correct,8631,8080,551,0.06383964778125362,False,KEPT
participant_16,question_5,Timer-No-Correct,7586,7221,365,0.04811494858950699,False,KEPT
participant_16,question_6,Timer-No-Correct,5500,5169,331,0.060181818181818184,False,KEPT
participant_16,question_7,No-Timer,10388,9853,535,0.05150173276857913,False,KEPT
participant_16,question_8,No-Timer,9211,8487,724,0.07860167191401585,False,KEPT
participant_16,question_9,Timer-No-Correct,5093,4865,228,0.044767327704692716,False,KEPT
participant_17,question_1,Timer-No-Correct,15280,15109,171,0.01119109947643979,False,KEPT
participant_17,question_10,Timer-No-Correct,10594,10496,98,0.009250519161789691,False,KEPT
participant_17,question_11,No-Timer,11215,10831,384,0.03423985733392777,False,KEPT
